Date,Weighted_Average_Score
2009-05-27,2.36328789
2009-05-28,2.95236126
2009-05-29,2.9616034200000003
2009-06-02,2.22350207
2009-06-03,1.8395187800000001
2009-06-04,2.47808835
2009-06-05,3.347144
2009-06-08,3.3844278699999997
2009-06-09,2.91986714
2009-06-10,3.42846596
2009-06-12,2.29361528
2009-06-15,2.49487102
2009-06-16,3.27236479
2009-06-17,3.20593781
2009-06-18,2.5871273199999996
2009-06-19,2.94689793
2009-06-22,2.67286616
2009-06-23,2.1513275800000002
2009-06-24,2.44625024
2009-06-25,2.40166457
2009-06-26,2.82129799
2009-06-29,3.3525741499999997
2009-06-30,1.7854298299999998
2009-07-02,2.3165613
2009-07-06,2.20243672
2009-07-07,2.08758175
2009-07-08,1.89011049
2009-07-10,1.9596733
2009-07-13,2.55558905
2009-07-14,2.99338958
2009-07-15,3.54292873
2009-07-16,3.5563881200000003
2009-07-17,2.6431813500000003
2009-07-20,2.73135452
2009-07-21,3.975903
2009-07-22,3.07563851
2009-07-23,2.49312936
2009-07-24,2.94116222
2009-07-27,1.7510661299999999
2009-07-28,2.2100348100000002
2009-07-29,1.4551117700000002
2009-07-30,1.88917475
2009-07-31,1.4137065000000002
2009-08-03,2.12906245
2009-08-05,3.8584641800000004
2009-08-06,2.33484889
2009-08-07,2.10314106
2009-08-10,1.6072909100000001
2009-08-11,2.4356842199999997
2009-08-12,3.1390553500000005
2009-08-13,2.89671687
2009-08-14,3.4356976
2009-08-17,3.5303774
2009-08-18,2.0936223199999997
2009-08-19,1.9778929299999999
2009-08-21,1.4557279300000001
2009-08-24,2.01406399
2009-08-25,2.19815292
2009-08-26,3.2120434899999997
2009-08-27,3.0815718
2009-08-28,3.1650256400000005
2009-09-01,2.79407477
2009-09-02,1.87215073
2009-09-03,2.8761710600000003
2009-09-04,1.94162751
2009-09-08,2.18069599
2009-09-09,3.29180618
2009-09-11,2.96050919
2009-09-14,2.8765413200000003
2009-09-16,3.50853312
2009-09-17,3.42394936
2009-09-18,2.18579014
2009-09-22,3.77778042
2009-09-23,3.03709138
2009-09-24,3.0043204500000003
2009-09-25,2.55864305
2009-09-28,2.3928065
2009-09-29,2.1559478
2009-09-30,4.16542479
2009-10-02,3.6772102899999997
2009-10-05,1.61172869
2009-10-06,1.8186364400000004
2009-10-07,3.50211701
2009-10-08,3.59475115
2009-10-09,3.00184294
2009-10-12,1.7952636800000001
2009-10-13,1.8283994200000002
2009-10-14,2.7962221
2009-10-15,2.54400351
2009-10-16,2.33995222
2009-10-19,2.3619406800000005
2009-10-20,3.10816272
2009-10-21,3.5019754900000004
2009-10-22,1.92677397
2009-10-23,1.7492888900000003
2009-10-26,3.0260251600000005
2009-10-27,2.6792899599999997
2009-10-28,3.63123344
2009-10-30,3.17821696
